"Is Laundering" "From Account" "To Account" "Payment Type" "Amount Paid" "Type Account From" "Type Account To" "Avg Stock Account From" "Avg Stock Account To"
0 "U01921" "U06906" "Credit Card" 10.04 "A" "B" 588361.986 728056.394
0 "U01929" "U01731" "Credit Card" 2.33 "C" "B" 1782406.696 2845.989
0 "U02056" "U06968" "Cheque" 4543.12 "B" "A" 1087039.079 9830.059
0 "U02116" "U02099" "Cheque" 28874.054 "F" "E" 51733.741 13241.683
0 "U02670" "U06374" "ACH" 4157.375 "A" "E" 3517646294.706 12149.309
0 "U03106" "U08800" "Cheque" 32866.22 "B" "B" 173445778.604 26662432.971
0 "U03131" "U08392" "Cheque" 47308.76 "B" "F" 125648.639 20986.852
0 "U04157" "U08158" "Cheque" 2156.97 "D" "F" 24354.507 22610.953
0 "U04246" "U08456" "Cheque" 1580.78 "E" "B" 740019.976 10830.391
0 "U06887" "U05175" "ACH" 4458.029 "E" "F" 277072536.315 31001.212
0 "U06914" "U00762" "ACH" 109668.34 "E" "A" 1216823.372 7329.999
0 "U07917" "U03869" "Cheque" 61119.453 "E" "B" 5678504.695 4142.799
0 "U08334" "U08594" "Cash" 5801.022 "B" "B" 1370534.603 22157.306
0 "U08644" "U08866" "Cheque" 9873602.02 "E" "E" 28104726.258 395749.738
0 "U08908" "U02243" "Cheque" 404.76 "A" "D" 7804.996 217798.072
0 "U09035" "U06342" "Cheque" 2413.46 "B" "E" 19282.685 364669.526
0 "U09261" "U03060" "Cheque" 4778.68 "D" "B" 28266.684 18733.975
0 "U09522" "U03378" "ACH" 1519.326 "B" "A" 18045.741 217258.877
0 "U09708" "U00879" "Cheque" 940.43 "A" "F" 936521.608 43284.059
0 "U10470" "U07915" "Cheque" 1847.181 "E" "A" 8495.664 324613.868
0 "U10663" "U02221" "Cheque" 6766.777 "A" "F" 785965.017 16835122.678
0 "U10811" "U06566" "ACH" 40.14 "B" "C" 4588071.6 8117.307
0 "U11298" "U09641" "Cheque" 3341.176 "D" "E" 33721.81 22952.286
0 "U12636" "U02679" "ACH" 16819.4 "A" "A" 118557.444 924950169.217
0 "U00008" "U07369" "Credit Card" 8087.279 "C" "F" 24248831.873 771998.885
0 "U00269" "U01794" "ACH" 6587625.62 "B" "E" 12849213.976 1256149.732
0 "U00464" "U00467" "Credit Card" 65725.302 "B" "F" 11904037.403 217207.986
0 "U00464" "U01708" "Cash" 123563.526 "B" "F" 11904392.478 211424.482
0 "U00464" "U04025" "Cheque" 768.25 "B" "F" 11904638.731 1366327.237
0 "U00464" "U06431" "Cheque" 3943.3 "B" "E" 11904924.309 12812.276
0 "U00464" "U07352" "Cheque" 46871182.69 "B" "D" 11904556.784 6199.897
0 "U00691" "U00190" "Cheque" 4688.73 "B" "E" 800940.586 5412203.331
0 "U00720" "U00721" "Cheque" 12827442.9 "E" "B" 6883717.901 1228238541.585
0 "U01129" "U04511" "Cheque" 828.05 "E" "E" 6468.33 956702.966
0 "U01338" "U01846" "ACH" 1011.45 "B" "B" 9051.9 12548066.203
0 "U01421" "U07717" "Cheque" 128650.32 "B" "B" 175622.371 1407.287
0 "U01427" "U04041" "Cheque" 161556.95 "D" "B" 297147.633 601626.254
0 "U01770" "U04433" "Cheque" 26734.67 "F" "E" 222998.12 126561.717
0 "U02057" "U06617" "Cheque" 568.11 "E" "F" 50939.544 4758.526
0 "U02157" "U05690" "Cheque" 146.356 "D" "B" 10446.679 25468.784
0 "U03137" "U05799" "Cheque" 14748.53 "B" "D" 10022695.391 2621304.787
0 "U03631" "U02220" "Cheque" 1402.824 "A" "C" 76241.379 27415.853
0 "U03872" "U09428" "Credit Card" 9.01 "E" "F" 9886.982 274979.696
0 "U04096" "U03019" "Cheque" 1514.14 "E" "E" 32444.173 21631.53
0 "U05093" "U04209" "Cheque" 700331.349 "E" "A" 601135.999 62545.847
0 "U05119" "U08390" "Cheque" 7819.466 "A" "E" 102492.264 73373400.801
0 "U05205" "U00518" "Cheque" 13462.21 "D" "C" 1173195.548 214947.332
0 "U06354" "U07260" "Cheque" 48901.251 "E" "E" 181403.986 8182.917
0 "U06653" "U05267" "Cheque" 2801372.69 "D" "B" 6477981.437 112160.538
0 "U06972" "U04055" "Cheque" 5464670.26 "B" "B" 12807153.95 14692.458
0 "U08373" "U01240" "Cheque" 5524.46 "B" "E" 7019388.059 2757644.039
0 "U08429" "U03334" "ACH" 10995.024 "A" "D" 169435.402 11452.463
0 "U08739" "U07111" "Credit Card" 92.43 "B" "A" 6863.71 69087350.734
0 "U09455" "U04741" "Credit Card" 5.61 "C" "B" 36588.015 631940.182
0 "U11074" "U03356" "ACH" 3103.988 "E" "E" 32693.802 345440.482
0 "U11758" "U04928" "Wire" 334.3 "B" "C" 3047.196 2615118.286
0 "U13245" "U09235" "Cheque" 1702.342 "B" "F" 12498.074 606.532
0 "U13276" "U08825" "Credit Card" 11171143.847 "D" "B" 40241793.596 12339.643
0 "U13363" "U02504" "Cash" 1643.906 "D" "B" 12986.821 2669798.876
0 "U00078" "U00528" "Cheque" 141289.5 "D" "A" 48192169.326 176671.714
0 "U00304" "U02954" "Credit Card" 723.994 "A" "D" 365587.631 389179.623
0 "U00464" "U06430" "Cheque" 4212.83 "A" "A" 11904403.074 68818.013
0 "U00508" "U00509" "Credit Card" 1805.13 "B" "B" 103039.402 160079.187
0 "U01459" "U05250" "Cheque" 17248.22 "B" "B" 46877.464 7819534.302
0 "U01679" "U05213" "Credit Card" 28.5 "A" "E" 9841747280.333 1295875.541
0 "U01813" "U02820" "Cheque" 8695.264 "E" "F" 10507175.016 4582155.972
0 "U01842" "U06749" "Cheque" 563.686 "F" "B" 407809754.689 194659.071
0 "U02274" "U05782" "Credit Card" 15.97 "B" "B" 84960.303 14721248.654
0 "U02334" "U02053" "ACH" 1954402.52 "B" "E" 769589579.895 656748.679
0 "U02534" "U05539" "Cheque" 28302.15 "E" "A" 104089.121 57578993.955
0 "U02646" "U02093" "ACH" 2488.013 "E" "E" 7126617.442 15203.675
0 "U03221" "U00698" "ACH" 5642.159 "C" "B" 699687.58 4034417.859
0 "U03676" "U00851" "Cheque" 34362.14 "A" "E" 4122940.438 3693718.531
0 "U03795" "U02738" "Cheque" 222141.221 "F" "E" 3048234.892 4757964.613
0 "U04304" "U07770" "Cheque" 2537.351 "A" "B" 677624.832 237767.627
0 "U04422" "U02808" "Cheque" 85714.531 "F" "A" 605596.917 684399.301
0 "U04449" "U04772" "Credit Card" 24.18 "E" "A" 503358.105 257719.638
0 "U05038" "U02478" "Cheque" 1340.64 "A" "E" 948331.73 4558359.224
0 "U06116" "U06571" "Cheque" 4637.9 "B" "A" 203620.515 23246.069
0 "U06197" "U01161" "Credit Card" 13303.753 "E" "B" 58030.826 15759.654
0 "U07629" "U04759" "Credit Card" 34.76 "E" "E" 4820045.689 1766293.997
0 "U07709" "U03262" "Cash" 4884.56 "A" "D" 906768.282 1449487.326
0 "U08104" "U05956" "Credit Card" 263.692 "F" "E" 16242.397 3651221.197
0 "U08530" "U04242" "Credit Card" 5.86 "B" "A" 30401.291 116439.969
0 "U09883" "U04336" "Cheque" 1678.967 "B" "C" 10793.449 13774.598
0 "U10574" "U00714" "Cheque" 1014.509 "E" "B" 7237.08 474365.21
0 "U12084" "U05542" "Credit Card" 3841.994 "A" "F" 14504.016 493668823.903
0 "U12499" "U03646" "Cheque" 19294.54 "C" "E" 8739107.318 3882821.282
0 "U00069" "U00116" "ACH" 3424.648 "E" "D" 181554.514 1622540.726
0 "U00078" "U04057" "Cash" 12516.785 "E" "A" 48193557.602 28047073.583
0 "U00116" "U06888" "Cheque" 35278.88 "D" "F" 1621186.718 531252.546
0 "U00464" "U00002" "Wire" 47110.166 "D" "A" 11904092.767 13782707606.872
1 "U00464" "U05924" "Cheque" 43.61 "D" "D" 11905753.631 3494929.862
0 "U00464" "U06305" "Credit Card" 4548.729 "D" "E" 11905244.577 1187147.537
0 "U00464" "U06854" "Credit Card" 262783.241 "D" "E" 11904224.901 31640.759
0 "U00742" "U04800" "Cheque" 1177.83 "E" "E" 8927.696 8391068664.375
0 "U00910" "U04766" "Credit Card" 26840035.218 "B" "B" 31322930.988 10125726.834
0 "U00999" "U01849" "Cheque" 38347.637 "C" "B" 4227926.744 142009.315
0 "U01243" "U07188" "Cheque" 23297.13 "C" "D" 4400257.417 3123013.331
0 "U01381" "U00682" "Cheque" 1350.87 "B" "C" 41652.757 48331753.4
0 "U01705" "U02250" "Cheque" 1299.98 "B" "E" 6327150.39 32373.025
0 "U01763" "U03429" "Cheque" 194.32 "D" "A" 24523637.421 855235.094
0 "U01896" "U03569" "Cheque" 1440.381 "B" "A" 1699229.484 7810409.216
0 "U01914" "U08997" "Cheque" 42.7 "A" "F" 38004.713 11702.858
0 "U01953" "U06136" "Credit Card" 30.3 "D" "C" 148515.16 63983.051
0 "U01979" "U08340" "Credit Card" 5.9 "D" "E" 158296.142 20617.895
0 "U02586" "U05977" "Credit Card" 81.87 "F" "E" 223946.693 24482.546
0 "U02860" "U00321" "Cheque" 62415.3 "C" "F" 746061.889 905648.501
0 "U03350" "U01602" "Cheque" 720.96 "B" "A" 18256.741 89423.338
0 "U03350" "U07922" "Cheque" 986.381 "B" "F" 19960.803 101174.127
0 "U03668" "U06149" "Cheque" 19657.95 "A" "C" 12445709.711 145888.507
0 "U03948" "U02512" "Cheque" 902.9 "E" "E" 30785.826 23879.258
0 "U03973" "U04896" "Credit Card" 78763765.031 "D" "B" 69620003.58 193988.37
0 "U04277" "U07792" "Cheque" 32.35 "B" "A" 4041857.216 5263791139.224
0 "U04434" "U08795" "Cheque" 2546.43 "A" "B" 90741372.585 108954.881
0 "U04553" "U00843" "Wire" 4032.749 "A" "F" 109384042.341 529501.48
0 "U04614" "U04972" "Cheque" 1358.55 "D" "E" 8938.971 28641.322
0 "U05218" "U09365" "Cheque" 30211356.68 "D" "B" 17642855.513 32197.723
0 "U05657" "U05791" "Cash" 1061.31 "B" "D" 1534900.893 2627531.848
0 "U05721" "U07666" "Credit Card" 6.05 "B" "D" 7636.966 9555.343
0 "U05895" "U05037" "Cheque" 1501.385 "C" "D" 13949.924 185182.637
0 "U06484" "U08158" "Cheque" 16461.389 "B" "F" 11979111.598 22721.387
0 "U07078" "U09461" "ACH" 536406.61 "F" "C" 2888328.052 4003.154
0 "U07288" "U04499" "Credit Card" 19.15 "E" "B" 331618.216 1929795
0 "U07418" "U07743" "Credit Card" 26764.116 "C" "E" 25951.604 11343.281
0 "U07614" "U05306" "Credit Card" 3.99 "A" "D" 422087.186 3124832.243
0 "U07678" "U01587" "Cheque" 292592.44 "C" "F" 755953.276 66960.658
0 "U07714" "U08185" "Credit Card" 22190.548 "A" "D" 186110.513 323849.298
0 "U08683" "U05085" "ACH" 1185.527 "F" "A" 229862.354 895326.61
0 "U08849" "U08785" "Cheque" 1679.724 "A" "D" 7378.624 24749903.962
0 "U08962" "U02402" "Credit Card" 2695.706 "F" "B" 1391235.992 4870165.602
0 "U10197" "U03543" "Cheque" 137.045 "B" "B" 5153409.013 2134263528.442
0 "U10403" "U06507" "ACH" 7548.72 "E" "A" 53013.019 1375465.235
0 "U10984" "U05631" "ACH" 1701.922 "F" "B" 130224.419 1393279.083
0 "U11567" "U07002" "Cheque" 0.43 "A" "A" 1397.709 57538.082
0 "U00098" "U01727" "Credit Card" 12.23 "A" "E" 465238.261 870012.861
0 "U00164" "U05405" "Cheque" 1620.48 "B" "D" 3377976.741 1878503.037
0 "U00183" "U01008" "Cheque" 96103.84 "A" "B" 140453.154 2370712.939
0 "U00442" "U09529" "ACH" 1099.312 "B" "A" 36628.918 12315.292
0 "U00464" "U02722" "Cheque" 218.38 "B" "E" 11905781.388 1349730.831
0 "U00552" "U05202" "Cheque" 144528.379 "F" "A" 217786.062 308755.32
0 "U00715" "U03113" "Credit Card" 3240.8 "A" "B" 138065.042 375225.192
0 "U02874" "U04535" "ACH" 257987.84 "C" "E" 1807311.78 451536.683
0 "U02920" "U05232" "ACH" 823.295 "C" "E" 105797.737 3455584.164
0 "U03137" "U07253" "Cheque" 33426.48 "C" "F" 10022340.503 8691.619
0 "U04341" "U06475" "Cheque" 426928.102 "E" "A" 827453.626 4882068.469
0 "U04835" "U07849" "ACH" 17683.752 "E" "B" 1638209.376 26671.714
0 "U04896" "U05747" "Credit Card" 23.96 "B" "A" 192916.653 1591619.149
0 "U05496" "U03308" "Credit Card" 1670.887 "B" "B" 14085.01 2833593.64
0 "U05647" "U05650" "ACH" 6465.076 "E" "E" 343254.649 2365878.163
0 "U05668" "U05668" "Cheque" 992.486 "A" "A" 12955.678 13079.539
0 "U05673" "U08839" "Cheque" 564.02 "D" "A" 1007271.574 4468.08
0 "U06936" "U02936" "Cheque" 12589.074 "A" "F" 913240.442 1537080.949
0 "U07623" "U04283" "ACH" 668.854 "B" "E" 212713.524 1789337.107
0 "U08122" "U09467" "ACH" 561.7 "B" "A" 1061771.757 6261.241
0 "U08154" "U09492" "Cash" 32465.408 "E" "B" 77597.225 5487122.404
0 "U08255" "U04224" "Cheque" 960.487 "E" "B" 7342.748 167541.996
0 "U08295" "U00723" "Cheque" 24695.06 "B" "B" 270692.439 97860996.255
0 "U08408" "U07661" "ACH" 136404.69 "C" "B" 479269.466 35682.028
0 "U08513" "U00447" "Credit Card" 69.11 "E" "A" 464716.797 25139.862
0 "U08521" "U03771" "Cheque" 254899.75 "C" "A" 337461.337 242221780.32
0 "U08968" "U05774" "ACH" 255982.526 "B" "B" 764843.966 260720.304
0 "U09090" "U02806" "Cheque" 74361.36 "C" "D" 303811.02 152840.455
0 "U10373" "U03285" "Credit Card" 1152.727 "B" "E" 12920.294 1870183.977
0 "U10935" "U07997" "Cheque" 0.46 "A" "B" 1842.383 1288320.975
0 "U11201" "U07983" "ACH" 57405.97 "C" "A" 1300119.587 201824.744
0 "U11525" "U07523" "ACH" 1925.94 "F" "A" 30642.144 22057511.04
0 "U12297" "U02218" "ACH" 802.98 "B" "B" 6076.698 19939.753
0 "U13062" "U01692" "Cheque" 1.02 "E" "E" 11466.505 6548044.493
0 "U13341" "U07670" "Credit Card" 178.8 "A" "B" 122914.121 7893.684
0 "U00464" "U00004" "Credit Card" 6292.314 "B" "C" 11904784.883 109184.207
0 "U00464" "U04272" "ACH" 550.463 "B" "C" 11905733.64 149464.664
0 "U00491" "U06062" "ACH" 7623.6 "B" "A" 30224.271 44333.306
0 "U00532" "U02490" "Cheque" 27042.313 "A" "A" 62852.265 23020741.012
0 "U00537" "U01010" "Cheque" 7407.744 "B" "C" 36596.677 11994181.141
0 "U00580" "U01003" "Cheque" 33.57 "C" "B" 382783.298 9733505.76
0 "U00617" "U01073" "Cheque" 361.94 "F" "B" 14616.875 1762984.925
0 "U00620" "U01436" "Credit Card" 13.2 "B" "C" 1632.582 1554.071
0 "U01102" "U01063" "Cheque" 1291.73 "F" "B" 131938.295 342667.949
0 "U01185" "U01212" "Cheque" 2584470.36 "B" "B" 15882713.574 1815419.812
0 "U01750" "U00933" "Cheque" 2099.62 "E" "A" 59623433.383 10970709.196
0 "U01869" "U03537" "Cheque" 3333.055 "B" "B" 329161905.944 1601145.445
0 "U01928" "U00710" "Cheque" 22231.85 "C" "B" 634216.413 939213.917
0 "U02740" "U07463" "Cash" 10823.337 "B" "F" 494524.111 3240483.462
0 "U02869" "U07697" "Cheque" 245740.49 "B" "A" 871825.312 103059.301
0 "U02910" "U07241" "Cheque" 943.216 "B" "B" 60254.592 2471198.002
0 "U03252" "U01933" "Cash" 1142.511 "D" "D" 464019.503 294494.65
0 "U03278" "U00481" "Cheque" 1831.872 "F" "B" 27377.374 80453.721
0 "U03302" "U04087" "Credit Card" 2.27 "A" "B" 525622.282 21246294.501
0 "U03437" "U00141" "Cash" 2715.236 "E" "A" 1829742.89 13543.779
0 "U04077" "U03975" "Cheque" 10476.782 "F" "A" 49096417.089 1461140.841
0 "U04138" "U01583" "Cheque" 10100.74 "E" "E" 696344.278 3304073.041
0 "U04955" "U04881" "Credit Card" 22.69 "E" "B" 15756.169 3966810.348
0 "U05140" "U01731" "Credit Card" 76.324 "B" "B" 104853531.416 518.339
0 "U05274" "U04639" "Cheque" 414196.11 "E" "A" 2900699.053 2039676.233
0 "U05307" "U02094" "Cheque" 1160413.326 "B" "C" 2877303.449 21591901.016
0 "U05508" "U08095" "Cheque" 22438569.459 "E" "C" 78612921.369 98880.172
0 "U06751" "U05598" "ACH" 11932.557 "E" "E" 413040.223 23557.509
0 "U07010" "U01524" "Credit Card" 2849.61 "C" "B" 7388.936 959000.589
0 "U07389" "U08782" "Credit Card" 38.35 "B" "B" 674480.72 2321962.569
0 "U08069" "U08992" "Cheque" 1228.692 "E" "B" 21900.011 1965756.128
0 "U08249" "U04942" "Credit Card" 4805.422 "A" "F" 20714.925 183762.653
0 "U09184" "U05843" "Cheque" 934211.86 "D" "B" 6541191.641 2195226.515
0 "U10646" "U08986" "Cheque" 11954.993 "B" "B" 49721.579 8982212.518
0 "U10669" "U01025" "ACH" 37838.67 "B" "B" 682972.438 86511.518
0 "U11513" "U09067" "Cheque" 3002.07 "B" "B" 21560.294 207522790.117
0 "U00055" "U09195" "Cheque" 1286.841 "E" "D" 3048963.336 11833526985.831
0 "U00073" "U03431" "Credit Card" 532349.219 "B" "F" 749084.818 9646785294.184
0 "U00223" "U07171" "Credit Card" 160.2 "E" "C" 5073719.289 4015.51
0 "U00242" "U03124" "Cheque" 45116109.71 "E" "C" 35101112.141 1857903.224
0 "U00616" "U04315" "ACH" 1472.376 "A" "D" 806233.559 76993.816
0 "U00836" "U03257" "Credit Card" 6.02 "B" "B" 29364.206 4483.869
0 "U01408" "U02249" "Cheque" 80.4 "B" "C" 529382.939 98022.856
0 "U01666" "U00074" "Credit Card" 242.54 "B" "D" 8642.2 1194751.821
0 "U02695" "U05188" "Cheque" 619.01 "D" "E" 56629.57 91666.856
0 "U02875" "U08966" "Cheque" 1733.836 "B" "B" 23938.982 3664.541
0 "U03206" "U04801" "Cheque" 33.238 "A" "B" 1727866.379 554727.404
0 "U04548" "U08344" "Cheque" 58250.98 "F" "B" 90248.527 305761.301
0 "U04948" "U04252" "ACH" 2125.23 "B" "F" 12385.323 56810.133
0 "U05138" "U03187" "Cheque" 1524.039 "E" "E" 408829.977 37751598.357
0 "U05598" "U01685" "Cheque" 404.94 "E" "B" 24798.952 7555.481
0 "U05845" "U05327" "Credit Card" 5.96 "A" "B" 49382310.147 9756322625.12
0 "U06937" "U05205" "Cheque" 1901.38 "E" "D" 447048.137 1170488.606
0 "U07611" "U07407" "Credit Card" 167.57 "B" "B" 1070224.928 174910.455
0 "U08365" "U00544" "Cheque" 612.807 "E" "E" 1826607.561 634045.401
0 "U08391" "U04280" "Credit Card" 22447.68 "C" "A" 2817903.382 1368861.094
0 "U08928" "U06616" "ACH" 4248.08 "F" "A" 86967.831 41058950.771
0 "U09139" "U09393" "Cheque" 1111.119 "B" "F" 8988.91 953647.755
0 "U09461" "U01192" "Credit Card" 5.59 "C" "E" 3362.276 23965.424
0 "U10402" "U01132" "Cheque" 17646.339 "B" "B" 4701833.462 20812.028
0 "U11517" "U03004" "ACH" 2271.404 "B" "B" 17096.759 170705.54
0 "U11908" "U01280" "ACH" 0.25 "B" "E" 8852352.791 484557.966
0 "U12709" "U03120" "Cheque" 0.47 "B" "A" 513772.864 11118.536
0 "U00141" "U05216" "Cheque" 3572.82 "A" "A" 14386.133 154984453.348
0 "U00464" "U00883" "Cheque" 89599823.49 "A" "A" 11905663.865 8331199.591
0 "U00464" "U07222" "Cheque" 1189.434 "A" "A" 11905914.675 3553721.238
0 "U00674" "U08962" "Credit Card" 833.657 "E" "F" 4137144.27 1390653.434
0 "U00968" "U06477" "Cheque" 473571.852 "D" "C" 557894.984 419395.135
0 "U01112" "U00211" "ACH" 957955.44 "A" "D" 6707081.069 16348.882
0 "U01845" "U02226" "Cheque" 57870.231 "E" "F" 615289.757 192310.474
0 "U01869" "U08887" "ACH" 61429.129 "E" "B" 329161532.389 401665.59
0 "U02231" "U00750" "Cheque" 14644348.76 "C" "D" 17382496.393 367305.53
0 "U02287" "U06924" "Credit Card" 950.862 "F" "E" 45589.615 177139466.671
0 "U02294" "U05310" "Cheque" 5344.47 "D" "E" 6672388853.669 32342063.061
